Organization Name,Short Name,Category,Summary,Description
AADOCR Student Research Group at the University of Washington,AADOCR SRG at UW,Medical/Dental/Nursing/Pharmacy,"Our student group is affiliated with the American Association for Dental, Oral, and Craniofacial Research, hereafter known as “AADOCR.” The goal of our organization is to promote student research in dentistry and its related disciplines.","To promote student research in dentistry and its related disciplines. To promote the advancement of dental research and related aspects. To further the stated aims and objectives of the AADOCR and the IADR as they relate to student research. Create a research-oriented space for UW members to discuss oral health research to advance their knowledge and work. Inform students, residents, and fellows about the wide variety of career-development, leadership, and networking opportunities by AADOCR for those in all stages of their education including pre-dental, dental, Master&rsquo;s, PhD, dual degree, residency, and postdoctoral research"
Ability,,Engineering,Ability is a student group at the Allen School at UW dedicated to promoting disability community and accessibility awareness. Membership is open to any UW student interested in our mission.,"Ability's goal is to create disability community and accessibility awareness within the computing community. Our club is open to all UW students, but based in the Allen School for Computer Science & Engineering. The computing community at UW is a tight-knit community. The reason that it feels so tight knit is because of the various student groups we have, such as GEN1 (supporting first generation college students), ACM-W (supporting women in computing), Q++ (supporting LGBTQ+ students), and several more. Ability focuses on supporting students with disabilities in tech fields. Ability has: Social events where students interested in Ability's mission can meet each other and discuss their experiences with disability and accessibility. Disability info sessions with speakers from tech-focused groups such as AccessComputing and DO-IT. Diversity discussions with speakers with disabilities from the tech industry talk about how they navigate large companies like Microsoft, Google, and Facebook with a disability. Career events where we invite recruiters to talk about disability-related programs and opportunities at their companies."
Academic and Recreational Graduate Oceanographers,ARGO,Graduate/Professional,"ARGO is a means for graduate students in the School of Oceanography to support one another and provide resources to further mental/physical health, educational, and career goals.","ARGO is a means for graduate students in the School of Oceanography to support one another and provide resources to further mental/physical health, educational, and career goals. We also serve as a recreational organization, providing a space for members to connect with one another outside of academic work. We intend for ARGO to provide structure and continuity to the activities of the Oceanography graduate student body."
Academy of Managed Care Pharmacy,AMCP,Graduate/Professional,To advance the quality and affordability of our health care system by promoting the application of medication-related research and education.,To advance the quality and affordability of our health care system by promoting the application of medication-related research and education.
AcademyHealth Student Chapter at University of Washington,AHSC,Academic,"A professional society for students interested in public health, health services research, and health policy. Connect with public health researchers & professionals, stay informed about latest news and developments, and network at conferences and events.","AcademyHealth defines health services research as the science of study that determines what works, for whom, at what cost, and under what circumstances. It studies how our health system works, how to support patients and providers in choosing the right care, and how to improve health through care delivery. The AcademyHealth Student Chapter at UW seeks to acquaint students with the fields of health services research and health policy, and to enhance the learning and professional development experience for students in health services research and health policy."
Access Student Resource Group,ASRG,Academic,"The Access Student Resource Group (ASRG) has been formed to enhance the academic and social experience of Access students. For questions or comments, write to ASRG at asrg@uw.edu","The Access Student Resource Group (ASRG) has been formed to enhance the academic and social experience of Access students and to create opportunities for Access students to help the educational and service goals of the University and its greater community. For questions or comments, write to ASRG at asrg@uw.edu"
ACGN Club at UW,ACUW,Special Interest,"ACGN Club at UW is a community for UW ACGN fans to make friends, communicate, imagine and create things together, at the same time promoting ACGN culture.","ACGN Club at UW is committed to providing an inclusive, diverse, and friendly community for ACGN fans to make friends, imagine and create things together, and promoting ACGN culture. In addition, ACGN Club at UW focuses on exploring the broad prospects of different disciplines in the creation of ACGN culture and promoting cross-disciplinary and cross-cultural exchanges. We will scrutinize the controversy and value of AI in ACGN creation, involve the fusion of interdisciplinary fields such as design, ethics, and technology, and improve ourselves as individuals while sharing our common hobbies with each other."
Active Minds at the University of Washington,AM,Health Sciences,"In association with the national organization, Active Minds, we strive to promote mental health awareness and education through campaigns, fundraising, informational meetings, and community-wide events.","Active Minds is a national nonprofit organization that is dedicated to changing the conversation about mental health through education, research, workshops, and advocacy. Our goal is to reduce the stigma around mental health, create a supportive and caring environment for discussion, and be a catalyst for lasting change throughout both the UW campus and the Greater Seattle community. By holding campaigns and events such as Stress Less Week, Suicide Prevention Month, and National Eating Disorders Awareness Week we strive to increase the visibility of mental health resources available to students at the UW and hope to provide a safe space where students can learn about mental health and mental health issues. If you are interested and would like to stay connected about events, please follow our Instagram page @activeminds.uw - that is the BEST way to contact and stay up-to-date with us! We look forward to meeting you :)"
Acts2Fellowship,A2F,Religious/Spiritual,"College is better together. We're a Christian student group passionate about growing in faith, building deep friendships, and living out the gospel on campus.","Welcome to A2F, Class of 2029! College is better together. We are a Christian student group passionate about growing in faith, building deep friendships, and living out the gospel on campus. We want to create a tight knit community where students are comfortable with asking questions and learning more about the message of Jesus Christ. Whether you have been to church all of your life, or just have questions about faith... A2F is the place for you! We're not made up of just Christian students. We also invite non-Christians and seekers to experience tight-knit community and learn how the Bible is relevant to our every day lives. We like to go study the Bible together, engage in outreach and evangelism, and have lots of fun and food TOGETHER. Some other things we like to do: mission trips, getting trained up in different life skills, learn apologetics, play sports, go on fun trips, do late night food runs, and SO MUCH MORE!"
Addiction Medicine Interest Group,AMIG,Medical/Dental/Nursing/Pharmacy,"The Addiction Medicine Interest Group is an interest group at the University of Washington School of Medicine that provides opportunities for education and advocacy relating to substance use disorder, addiction medicine, and harm reduction.",
Adelpos,Adelpos,Religious/Spiritual,To promote the faith of Christianity among young adults by encouraging the members to meditate on the word of God and have fellowship in Christ.,To promote the faith of Christianity among young adults by encouraging the members to meditate on the word of God and have fellowship in Christ.
Advanced Robotics at the University of Washington,ARUW,Engineering,"We do not accept applications from this website (HuskyLink). For inquiries or to apply, please visit aruw.org. ARUW is a competitive robotics team of over 70 students designing, building, and programming robots for the RoboMaster competition.","We do not accept applications from this website (HuskyLink). For inquiries or to apply, please visit aruw.org. The RoboMaster Robotics Competition is a worldwide collegiate robotics competition. The field is larger than a basketball court and features eight robots from each side. Matches are intense and theatrical, resembling eSports competitions. The 2019 competition was streamed to thousands of viewers. The recording can be found here: https://youtu.be/-o_WYEoxWGY?t=2352 ARUW typically has around 50-60 members from a wide variety of majors including business, electrical engineering, mechanical engineering, and computer science."
Advancing Husky Artistry,AHA,Special Interest,"Advancing Husky Artistry is a safe place for artists of all skill levels to connect! Through emphasis on portfolio building, connection making, and professional advancement, AHA aims to provide the resources to help artists achieve their goals.","Advancing Husky Artistry is a safe place for artists and appreciators of the arts to connect! Here, artists of all different skill levels and mediums can gain new skills and build each other up as a community. Through emphasis on portfolio building, connection making, and professional advancement, AHA aims to provide the resources to help artists achieve their goals. Placing emphasis on skill improvement, whether you are a beginner artist unsure where to start, or an art major looking for portfolio critique, we&rsquo;ve got you covered. AHA strives to provide the activities, resources and connections to help artists of all kinds achieve their goals, hobbyist or professional. Remember, creating art isn&rsquo;t a magical talent &mdash; it&rsquo;s a skill that anyone can learn! If you are interested, join our Discord to learn meeting times, events, and more. https://discord.gg/7vN2NwWGFB"
Adventist Christian Fellowship at University of Washington,ACFUW,Religious/Spiritual,To provide students with opportunities to engage in weekly spiritual fellowship and in robust conversation at the intersection of life and faith within an Adventist framework.,To provide students with opportunities to engage in weekly spiritual fellowship and in robust conversation at the intersection of life and faith within an Adventist framework.
Afghanistan Student Union at the University of Washington,ASU ,"Academic, Cultural/International","The Afghan Student Union (ASU) fosters a vibrant community that celebrates Afghanistan’s culture, heritage, and leadership. We unite Afghan students, inspire collaboration, and empower individuals to honor our roots while shaping a brighter future.","Afghanistan Student Union strives to foster a vibrant community that celebrates Afghanistan's culture, heritage, and leadership. We aim to unite Afghanistan students, inspire collaboration, and empower Individuals to honor our roots while shaping a brighter future together. Together, we strive to strengthen The Afghanistan community and promote progress. ASU Slogan: Together We Thrive, Together We Lead 1. Unite Afghan students and those interested in Afghan culture. 2. Promote cultural awareness and appreciation of Afghan traditions and heritage. 3. Provide academic, social, and professional support to members. 4. Advocate for issues affecting the Afghan community locally and globally. 5. Organize cultural, educational, and social events for the university and the broader community."
African Caribbean Student Association,ACSA,Cultural/International,African Caribbean Student Association is an organization to welcome all African and Caribbean students on campus. We strive to Promotion cultural exchange within different African and Caribbean national and cultural groups as well as educate.,"African Caribbean Student Association is an organization to welcome all African and Caribbean students on campus. We strive to Promotion cultural exchange within different African and Caribbean national and cultural groups as well as educate. we aim to celebrate the rich diversity, culture, and history of the regions of Africa and the Caribbean."
African Youth Research Program,AYRP,Academic,African Youth Research Program is a group with the mission to empower young African students to create academic and research opportunities that provide attainable solutions for issues facing their communities and the African continent.,"African Youth Research Program is a group with the mission to empower young African students to create academic and research opportunities that provide attainable solutions for issues facing their communities and the African continent. Our vision is to build a self-reliant Africa to bridge the gap in education, economy, and innovation between the continent and developed countries"
AI Alignment at the University of Washington,,"Engineering, Sciences",AI Alignment at UW aims to facilitate discourse and research on the AI alignment problem: the problem of making controllable AI systems.,"AI Alignment at the University of Washington aims to facilitate discourse and research on the AI alignment problem: the problem of making controllable AI systems. By default, AI systems will pursue objectives that correlate with our desired objective on familiar examples, but diverge in important and potentially catastrophic ways. The alignment problem is figuring out how to ensure that doesn't happen. How do you instill every single human value into a super intelligent AI system, and what are the consequences of failing to do so? Intro to AI Safety Video Join our discord!"
